dates,job-title,summary,pros&cons,overall-ratings,work-balance-stars,culture-values-stars,carrer-opportunities-stars,comp-benefit-stars,senior-mangemnet-stars
" Oct 15, 2017",Current Employee - Program Manager II,My Stint at Amazon,learning opportunities growth opportunities better pay.,4,3,4,5,4,4
" Aug 15, 2017",Current Employee - Anonymous Employee,Software Developer Intern,nice work culture. projects have scale of real dataset..,4,none,none,none,none,none
" Sep 5, 2017",Current Employee - Anonymous Employee,QAE-II,good work culture.. flexi timings...,4,none,4,none,none,none
" Mar 19, 2016",Former Employee - Specialist,Part Time Specialist,not mentioned,4,5,5,3,5,5
" Nov 3, 2017",Current Employee - Senior Technical Writer,A great place for Technical Writers/Programming Writers,"a growing team as amazon adds new web services they add new writers. they don't just throw the new work on our existing writers' plates. a strong editorial support staff a really good ratio between writers and editors ensures that the technically . ""frugal"" core principal writers are in open bay areas (like most other employees) sometimes making concentrating while in the office a challenge. most use headphones to help compensate. treated as ""second class"" to programmers new 34"" wide hi res",5,5,5,4,4,4
" Jun 29, 2014",Current Employee - Cloud Support Engineer,Great place to work,"so many pros, i'll do this bullet point style so this doesn't get too long: ability to work from home flexible schedules, ability to work 4 10 hour shifts and that means a lot of time off (3 days off every week is awesome!) great work life balance (i know a lot of people say amazon doesn't have this, however i think this is highly dependent on what team you work in and the manager you have, i'm fortunate enough to have both a great team and manager) pretty good compensation (amazon believes in total compensation, i will go into further details in cons) learn a ton on the job and have access to the latest and greatest in cloud computing occasional free food including free breakfast cereals most of the month lots of very smart people to learn from and collaborate with opportunity to advance, after working one year you are free to apply for any job in the company...you are really only limited by your own ambition and hard work at amazon. helping fix customer problems makes me happy, but i might be weird you are always empowered to fight for and help the customer, which makes it easy to do your job. ""frugality"" can sometimes go too far, employee perks don't match up with the googles and facebooks of the world. this is across the board. they are decent with perks, but not great. total compensation means that you will always be paid in both stock a",5,5,4,5,4,5
" Jul 15, 2018",Current Employee - SDE2,Fancy Sweatshop,"you will learn how to work efficiently and manage stress. you will also learn about large scale backend systems. money is good. nice entry in the resume. if you feel like you're objectively smarter than everyone, constantly have to carry your laz. ""fungibility"". means, you are expected to work on whatever needs work, regardless of your skills or preferences. you are also replaceable at a moment's notice. ""efficiency"". they will do whatever they can to squeeze you for every last drop of your ene",2,1,1,1,1,1
" Dec 15, 2009",Current Employee - Director,chaotic and political environment with lack of accountability and leadership,not mentioned,2,3,none,2,4,1
" Sep 15, 2012",Current Employee - Software Development Engineer II,Great company if you are in your 20s,not mentioned,3,1,2,4,3,3
" Dec 29, 2016",Current Employee - Anonymous Employee,"Generally a good place to be an engineer, but beware some specific pitfalls",not mentioned,4,4,3,5,4,3
