dates,job-title,summary,pros&cons,overall-ratings,work-balance-stars,culture-values-stars,carrer-opportunities-stars,comp-benefit-stars,senior-mangemnet-stars
" Jan 19, 2017",Current Employee - Data Center Manager,Worth it,"exciting work, good pay (with the grants & bonuses), surrounded by smart people. you're not empowered to get things done, but you are empowered to screw others over.",4,2,4,5,5,5
" Oct 16, 2016",Former Employee - Anonymous Employee,Love it,good benefits and the pay is good. you're on you feet all day,5,5,4,4,5,4
" Apr 14, 2015",Former Employee - Specialist,Specialist,"you'll inevitably meet people you like since the number of staff is so big there's a decent enough opportunity to have a voice and move up fairly quickly. upper management pays attention to that, as does everyone else it's such a powerful company and. you're on your feet constantly and in an annoyingly bright incubator like store. it somehow works as a marketing device and employees have to deal with it daily the pay isn't great. it can feel very corporate even though they try to make it not feel lik",3,4,3,4,3,3
" Apr 2, 2015",Current Employee - Inbound Associate,Warehouse work,the work is pretty easy. it can also be fun since the inbound stations pair up two people so you can talk as long as you get your work done.. you're on your feet for about 9 hours a day. management has a lot of pressure on their back so it will trickle down to regular employees eventually.,4,2,4,3,4,3
" Dec 14, 2016",Current Employee - Anonymous Employee,Customer Obsession,short hours makes the day go by faster. opportunities to convert to full time if you want. you also have the option to get more hours.. you're on your feet the whole time. breaks are unpaid. training isn't thorough if you haven't worked in a warehouse before.,4,5,4,4,4,4
" Dec 20, 2016",Former Employee - Anonymous Employee,Great Retail Job,"creative, lively co workers, great managers. opportunities to get involved outside your job description and grow.. you're on your feet. it's retail.",4,4,5,4,4,5
" Jul 13, 2016",Former Employee - Anonymous Employee,Software Engineer Intern,great work environment. smart people. everyone is passionate.. you're part of something way bigger than yourself. don't really feel like you're making a huge change.,5,5,5,5,5,5
" Oct 12, 2014",Current Employee - Senior Business Intelligence Engineer,"Love and enjoy every moment of it, most of the time!","lots of things to improve great people to work with and learn from pushes you to think simple and innovate. you're personally responsible to manage your time and figure your priorities, most of the time! it's a constant battle to keep your work life balance!",5,3,5,5,5,5
" Jul 1, 2016",Former Employee - Anonymous Employee,Great for College Students,"easy to work while in school, hours are in the evening/night after classes are usually done for the day great health/dental/vision benefits random free swag sent to you in the mail access to all of apple's corporate discount programs get to work from. you're required to work 3 4 hour shifts during the week, and one 8 hour shift during the weekend. you get to pick when you want to work the weekday shifts (2 of them have to start at 3pm or later pst, the 3rd can be anytime that they're open for calls),",4,5,4,2,4,4
" Nov 3, 2015",Current Employee - Anonymous Employee,bar-raiser,"amazon is doing lot's of cool stuff...but lots of boring stuff too. there are really well run teams...and very badly run teams. the experience for software managers and engineers is all over the board, from really run low operational load teams to teams where people burn out after a year. amazon is built, quite deliberately, to be darwinian. you can generally expect that anyone who's been here for more than 2 years. you're responsible for your own career progression and finding the places and teams that are doing the stuff you want to do. no one is going to take you by the hand and help you with that. amazon is built, quite deliberately, to be darwinian. the strong survive and the weak perish (metaphorically speaking) and the 'bar' is constantly increasing. the level of performance that would have been acceptable five years",4,1,1,3,3,2
" Jul 7, 2017",Current Employee - Anonymous Employee,Great place to learn,"great place to learn, flat, lots of room for growth, innovative, good pay, good benefits, smart coworkers. you're responsible for yourself, for asking the right questions, etc. some people can get very burnt out. some teams are a bit survival of the fittest.",5,none,none,none,none,none
" Aug 8, 2010",Former Employee - Specialist,"Caring Employer, Chaotic Environment","great company with nice benefits and comfortable salary. constant communication with management, approachable and friendly. great hiring standards. smart, generous employees.. you're selling products at the height of their popularity, dealing with a lot of crazy policies and limitations that change every day. along with a lot of crazy people. a lot of silly ""lingo'' for a company that tries to ""think differently.''",4,3,none,3.5,4.5,3
" Sep 13, 2016",Former Employee - Anonymous Employee,Intern,"innovative, large responsibility and opportunities to grow from onset.. you're still an intern, finance plays a marginalized role throughout the business.",5,2,4,4,4,5
" Mar 7, 2016",Current Employee - Apple At Home Advisor,Harder than it looks.,"i love that i don't have to drive to work every day. i'm saving gas and car repairs, but more importantly i can see my family a lot more when i'm on my breaks. the benefits are out of this world great!. you're stuck inside all day long at home. this is harder than it seems.",5,2,5,4,5,4
" May 20, 2017",Former Employee - Transaction Risk Analyst,Amazon review,best place to work and has a lot of room for growth. you're surrounded by people who are as talented as you or may be much talented than you.,4,3,5,4,3,3
" Feb 1, 2011",Current Employee - Regional Manager,Great experience,inspiring experience that you will learn so much and so fast.. you're the workhorse and always run back to back.,5,5,none,5,5,5
" Jul 2, 2017",Current Employee - Anonymous Employee,Seasonal Sortation Associate,you're pretty much left to your own devices if you enjoy working without being micromanaged. you're thrown straight into the water with not much training. the hours can be either really short or too long and you have no idea how long you're going to stay on the job for until 5 minutes in.,3,5,3,1,1,3
" Oct 31, 2018",Former Employee - Anonymous Employee,No Work Life Balance whatsoever,"compensation is decent, 4 day schedule (when you actually have it). you're told you'll have a 4 day schedule but based on needs of business, that is rarely actually the case. if you leave before 1 year, you have to pay back signing bonus and relocation money",2,1,4,3,3,1
" May 14, 2017",Current Employee - Anonymous Employee,Life at Amazon,"once you're in the door and doing well, tons of opportunities to explore new areas. you're ultimately responsible for your own work life balance",4,3,none,5,4,4
" Sep 5, 2016",Former Employee - Anonymous Employee,"good work, but also a big company","all the usual benefits everyone raves about.. you're working at a big tech company, and there are two cultures, contractors and full timers. prepare for that.",3,4,3,5,4,4
" Jun 21, 2017",Current Employee - Marketing Specialist,I love AWS,"you can make a direct impact on the business, and high performers always get promoted.. you're working at break neck speed to keep up with the growth.",5,4,5,5,4,5
" May 26, 2015",Current Employee - Specialist,Go in with eyes wide open,"you're working for one of the best companies in the world a company that makes superior products and cares about its employees, customers, and the environment.. you're working in a store. quite detached from the rest of the company.",3,3,4,2,3,2
" Sep 18, 2018",Current Employee - Anonymous Employee,Sr. Director,smart people company has new motivation. youth movement in management focus on diversity and not on capability,2,1,1,1,3,1
" Dec 30, 2013",Former Employee - Specialist,Supportive leadership team,"family oriented company, and managers really look after you.. you've been given all the support, so the burden to improve is much greater.",5,5,5,5,5,5
" Jun 13, 2015",Current Employee - Anonymous Employee,"high pressure, high pay!",it's the best job for a student. you can change your schedule two weeks in advance.. you've gotta always be 100% on.,5,4,5,5,5,4
" Sep 17, 2017",Current Employee - Website Production Support,Shipping,i like work with people thru computer. yup not work various shift just work daytime. no weekend,4,4,3,4,4,4
" Feb 26, 2015",Former Employee - Anonymous Employee,Bof.,"Zro pressure. Many perks .. Zro intellectual stimulation, rewards Alatoires.",3,5,3,3,4,3
" Dec 28, 2016",Current Employee - Post editing specialist,Zahlungsziel zu lang,"Friendly, helpful employees, international company, reliable project award. Payment goal 60 days net, fee is staggered",3,none,none,none,none,none
" Apr 25, 2016",Current Employee - Computertechnicus,Ingewikkeld,"They have the best resources and a completely different way of thinking than other companies I worked for. You can make all your dreams come true. They are very focused on performance. If you are not good enough, you will probably not be hired or fired",4,4,5,5,5,4
" Aug 14, 2017",Current Employee - Technical Specialist,You will NOT be ,"discounts. health insurance even at pt. stock options. learn how to troubleshoot products for life. not too much for someone looking for a career. great for a hs grad with no other options, you'll be set at mediocre work with no accountability!. zero accountability for peers. customer base is high maintenance and job is very stressful at the bottom. pay seems to start high, but levels off. no upward mobility. i've been sworn at, physically threatened, and personally attacked, no management to back up. hr helpline is a joke, they are friends with the management that they are supposed to be holding accountable. you're not allowed to feel anything but ""profound positivity"". get in at the job you want, upwards mobility is almost non existent. management has a ""hands off"" approach. no accountability, hidden behind a term called ""fearless feedback"". you are to hold your peers accountable. your management team will not.",2,1,1,1,3,1
" Jun 13, 2017",Current Employee - Customer Service Representative,Great Place to Work,"very flexible for hours, couple of weeks paid training to start off, raises around every 4 6 months.. zero benefits for part time employees, not much communication with any higher ups, even employee level management. pretty low pay as far as per hour goes.",4,4,4,3,2,4
" Nov 17, 2016",Former Employee - Anonymous Employee,HR,"lots of opportunities, chance to make an impact. generally nice people to work with. zero budgets to work with. archaic white paper process to enact any kind of change. ridiculous promotion process",3,4,3,2,4,2
" Jul 28, 2014",Current Employee - Anonymous Employee,"Lack of career development, top-heavy, unappreciated","you will meet some of the brightest people here who are genuinely interested in technology and getting things done. truly a place where some of the cutting edge technologies are being developed every day.. zero career development. no career development discussions. when you do request for one, they turn it around and ask you to map out what you want. when you do, they don't respond or critique on your plan, or it will be something along the lines of ""i know you want... but at the moment that is not possible"". either way, your voice is never heard. failure to deliver on promises. you're always given new roles and additional responsibilities with the promise that you'll eventually be promoted, but it never happens. compensation is a joke. due to the sign on bonuses and how they're structured, you will actually end up earning less after 2 years. lack of recognition. i have seen many projects taken away from the local teams and become ""globalised"", with no recognition given to the pioneers of the projects. yearly increments are non existent or very small (< 5%). amazon leadership principles. these principles are good in theory, but in practise they're used against you. you'd be faulted if you spent more than necessary on a campaign for not being ""frugal"", because you wanted to be ""customer obsessed"". you'd be faulted for not ""having backbone"" if you said yes to take on an additional job role, yet you'd also be faulted for not having ""ownership"" and not thinking of the entire company if you said no. most of the senior management do not ""dive deep"" and roll up their sleeves. when they do, it'd be a big thing and you'd see emails being sent all over the place. vested shares. it looks good on paper, but you only get all of it after 4 years. also, they use it year after year during your yearly review to convince you why you are getting a good deal. no teamwork, no camaraderie. i remember one of the senior management once mentioning he doesn't believe in friends within the workplace because it leads to employees not wanting to perform and outdo one another. no alignment throughout the organization. working with the corporate team is difficult, the goals are just not aligned and management does not help to make things easier. most of the time you feel like your managers are against you just to please corporate, instead of backing you in getting things done.",2,1,1,1,2,1
" Jun 3, 2016",Former Employee - Senior Solutions Architect,"AWS -- top heavy management, poor culture, opportunity boom is already over",cool tech cloud was the new hotness while i was there. logo looks nice on resume. zero career growth (managers were open about no promotion track past x level) terrible management structures (mangers just ran interference to keep you from bothering director/vps) culture is as bad as you've heard all the way to the top low margins everywhere includes the employees very low equity vs competition long timers suffer from stockholm syndrome,2,1,1,1,2,1
" Feb 10, 2015",Current Employee - Sales Manager,Sales Manager GBO,"flexibility, people, resources, and the perks.. zero career growth. very hard to advance.",4,5,4,4,4,3
" Oct 27, 2016",Current Employee - Anonymous Employee,Lots of potential with too many weak managers,"the benefits & perks are great, facebook is obviously one of the best knows brands in the world. lots of smart & genuinely great people. challenging work.. zero career progression unless you're happy to spend a minimum of 3 years in the same role. management in recruiting are really poor which demotivates everyone and makes them feel as if they're not supported. too many managers were promoted on tenure alone and are awful people managers.",3,3,4,1,5,3
" Jan 5, 2018",Former Employee - Anonymous Employee,Genius,"fantastic coworkers, great training. good friends. zero chance of promotion from genius (managers were all external hires, who used to be store or regional managers elsewhere)",4,2,3,3,3,1
" Mar 19, 2018",Current Employee - Amazon Warehouse Worker,Unfair treatment of hard workers.,"steady job, health benefits, friendly co workers.. zero chance to move up to better positions if you work hard. they keep you in the same position to you quit or get fired. senior management is terrible they protect the lazy workers by removing write up and letting them stay and slowing down productivity.",1,3,1,1,3,1
" Apr 1, 2017",Current Employee - Seller Support Associate,Worst training EVER!,"at first glance the benefits are descent and so is the starting pay, until you hit the floor and realize even at twice the rate it isn't enough to be put through the stress.. zero choice in shift, zero work life balance, work measurements based on random case allocation and you are penalized for partner sites errors in transfer and poor customer service. inconsistency is rampant, be prepared for being told 5 different answers for the same policy questions all of which are incorrect, no worries for them it's your work that suffers not theirs. there is rampant favoritism and it's not based on skill level, having a superior attitude and belligerent interaction with peers paves the way for advancement. darwinism may rule here, but clearly some gene pools should remain untapped.",2,1,1,2,2,2
" Nov 16, 2018",Current Employee - Senior Technical Program Manager,Senior Technical Program Manager,"great benefits both at work and for families like medical/dental/vision/401k. generous work related support in terms of services, food, etc.. zero concern for actual professional work environments. constant personal and work life blending: result feels like a forced exposure which may or may not align with your core values. protected class employees and potential employees valued over non protected classes uniformly in terms of skills/experience and relevance.",3,4,3,4,5,3
" Oct 8, 2017",Current Employee - Anonymous Employee,Excellent Place to grow and learn more than you ever thought!,not mentioned,5,5,5,5,5,5
" Apr 13, 2018",Former Employee - Human Resources Specialist,It is not for everyone,"competitive salaries if you can/know how to bargain. good benefits. fancy offices in the corporate world. no experience needed in some hr entry level roles. equal opportunities to succeed.. zero empathy, people are only numbers. work is hyper specialised, not much space to learn new things. you can be stuck on the same process/task for ever.",3,2,1,3,4,1
" Feb 24, 2016",Current Employee - Anonymous Employee,Great time!,great community of people who make work fun.. zero flexibility for work life balance,4,none,none,none,none,none
" Mar 9, 2015",Former Employee - Anonymous Employee,unfortunately the worst place to work,"great benefits, smart people, great work life balance. zero growth and hence zero challenges. breeds mediocrity",3,5,1,1,5,1
